מס׳ מגרש,שטח המגרש,ייעוד,שטח פלדלת למגורים,כמות יח״ד,שטח למסחר בק. קרקע,שטח למסחר בקומה ראשונה מעל ק. קרקע
40,4652,מגורים ומסחר,16747,148,582,582
41,3485,מגורים ומסחר,13941,128,436,436
42,4776,מגורים מסחר ותעסוקה,17958,160,4776,4776
43,3333,מגורים מסחר ותעסוקה,17333,160,3334,3334
44,4456,מגורים מסחר ותעסוקה,17826,160,4457,4457
45,5954,מגורים מסחר ותעסוקה,17625,160,5955,5955
46,4069,מסחר ותעסוקה,0,0,1243,21138
47,2780,מסחר ותעסוקה,0,0,850,14442
100,2497,מגורים ג',9988,92,0,0
101,2360,מגורים ג',10383,92,0,0
102,2863,מגורים ג',10368,92,0,0
103,2615,מגורים ג',7739,69,0,0
104,1688,מגורים ג',4997,46,0,0
105,1671,מגורים ג',4945,46,0,0
106,1516,מגורים ג',4851,46,0,0
107,1566,מגורים ג',5012,46,0,0
108,1883,מגורים ג' - חזית מסחרית,7631,69,251,0
109,1593,מגורים ד' - חזית מסחרית,5034,46,398,0
110,1363,מגורים ד' - חזית מסחרית,7458,69,219,0
111,1437,מגורים ד' - חזית מסחרית,5080,46,404,0
121,1180,מגורים ג' - חזית מסחרית,2654,23,221,0
122,1021,מגורים ג' - חזית מסחרית,2542,23,191,0
123,954,מגורים ג' - חזית מסחרית,2503,23,209,0
124,1290,מגורים ד' - חזית מסחרית,7577,69,207,0
125,1095,מגורים ג' - חזית מסחרית,2463,23,205,0
126,1147,מגורים ג' - חזית מסחרית,2580,23,215,0
127,1204,מגורים ג',2600,23,0,0
128,1035,מגורים ג',2483,23,0,0
129,966,מגורים ג',2550,23,0,0
130,1312,מגורים ד',4934,46,0,0
131,2092,מגורים ג',5020,46,0,0
132,1047,מגורים ג',2514,23,0,0
133,1063,מגורים ג',2552,23,0,0
134,780,מגורים ג',2497,23,0,0
135,785,מגורים ג',2511,23,0,0
136,940,מגורים ג',2631,23,0,0
137,965,מגורים ג',2547,23,0,0
138,1078,מגורים ג',2586,23,0,0
139,772,מגורים ג',2594,23,0,0
140,777,מגורים ג',2487,23,0,0
141,800,מגורים ג',2562,23,0,0
142,1227,מגורים ד',2553,23,0,0
143,1393,מגורים ד',2564,23,0,0
144,1308,מגורים ד',2615,23,0,0
145,1308,מגורים ד',2615,23,0,0
146,1440,מגורים ג',2650,23,0,0
147,1885,מגורים ד',10860,99,0,0
149,1609,מגורים ד',10944,99,0,0
150,1459,מגורים ד',10502,99,0,0
151,3556,מגורים ד',15646,140,0,0
152,1555,מגורים ד',10571,99,0,0
153,1689,מגורים ד',10810,99,0,0
